ID,File,Symbol,OrphanType,Priority,UIRoute,NPCConsumer,TickPhase,TestFile,Status,PR
"ORPH-0001","src/engine/systems/basho/ExhibitionBashoService.ts","ExhibitionBashoName","unreferenced-export","P3","","","","","candidate",""
"ORPH-0002","src/engine/systems/basho/ExhibitionBashoService.ts","ExhibitionBashoInfo","unreferenced-export","P3","","","","","candidate",""
"ORPH-0003","src/engine/systems/basho/NakabiService.ts","NakabiSummary","unreferenced-export","P3","","","","","candidate",""
"ORPH-0004","src/engine/systems/economy/infrastructureValidation.ts","ValidationResult","unreferenced-export","P0","","","","","candidate",""
"ORPH-0005","src/engine/systems/economy/KachiNokoriService.ts","PostBashoPayload","unreferenced-export","P0","","","","","candidate",""
"ORPH-0006","src/engine/systems/economy/KenshoService.ts","BoutImportanceBucket","unreferenced-export","P0","","","","","candidate",""
"ORPH-0007","src/engine/systems/economy/FinanceCalculator.ts","HeyaFinanceResult","unreferenced-export","P0","","","","","candidate",""
"ORPH-0008","src/engine/systems/training/MentorshipService.ts","MentorMenteeBoutEvent","unreferenced-export","P0","","","","","candidate",""
"ORPH-0009","src/engine/systems/training/TrainingMath.ts","TrainingModifiers","unreferenced-export","P0","","","","","candidate",""
"ORPH-0010","src/engine/systems/training/TsukebitoService.ts","TsukebitoAssignment","unreferenced-export","P0","","","","","candidate",""
"ORPH-0011","src/engine/systems/health/BodyDefinitions.ts","BODY_AREA_LABELS","unreferenced-export","P0","","","","","candidate",""
"ORPH-0012","src/engine/systems/health/BodyDefinitions.ts","INJURY_TYPE_LABELS","unreferenced-export","P0","","","","","candidate",""
"ORPH-0013","src/engine/systems/recruitment/ScoutingService.ts","PublicRikishiInfo","unreferenced-export","P1","","","","","candidate",""
"ORPH-0014","src/engine/systems/recruitment/ScoutingService.ts","ScoutedAttributeTruthSnapshot","unreferenced-export","P1","","","","","candidate",""
"ORPH-0015","src/engine/systems/recruitment/ScoutingService.ts","ScoutedPotentialSnapshot","unreferenced-export","P1","","","","","candidate",""
"ORPH-0016","src/engine/systems/narrative/NarrativeBands.ts","FinancialBand","unreferenced-export","P1","","","","","candidate",""
"ORPH-0017","src/engine/systems/narrative/PostBashoPressService.ts","PressConferenceContext","unreferenced-export","P1","","","","","candidate",""
"ORPH-0018","src/engine/systems/narrative/NarrativeProse.ts","hydrateDescriptor","unreferenced-export","P1","","","","","candidate",""
"ORPH-0019","src/engine/systems/narrative/RivalryHeatService.ts","bumpTrigger","unreferenced-export","P1","","","","","candidate",""
"ORPH-0020","src/engine/systems/meta/EraDriftService.ts","EraTone","unreferenced-export","P2","","","","","candidate",""
"ORPH-0021","src/engine/systems/governance/GomenfudaService.ts","GomenfudaRecord","unreferenced-export","P1","","","","","candidate",""
"ORPH-0022","src/engine/systems/governance/KihakuService.ts","KihakuInput","unreferenced-export","P1","","","","","candidate",""
"ORPH-0023","src/engine/systems/governance/YokozunaService.ts","YDCCandidate","unreferenced-export","P1","","","","","candidate",""
"ORPH-0024","src/engine/systems/governance/PoliticalFavorsService.ts","FavorOption","unreferenced-export","P1","","","","","candidate",""
"ORPH-0025","src/engine/systems/worldCircuit/WorldCircuitService.ts","ExhibitionRegion","unreferenced-export","P2","","","","","candidate",""
"ORPH-0026","src/engine/systems/generation/CohortTracking.ts","CohortSummary","unreferenced-export","P3","","","","","candidate",""
"ORPH-0027","src/engine/systems/generation/PreSumoBackground.ts","PreSumoBackgroundId","unreferenced-export","P3","","","","","candidate",""
"ORPH-0028","src/engine/systems/generation/TalentPoolStateService.ts","injectRikishiAsCandidate","unreferenced-export","P3","","","","","candidate",""
"ORPH-0029","src/engine/systems/generation/CandidateStats.ts","GeneratedStats","unreferenced-export","P3","","","","","candidate",""
"ORPH-0030","src/engine/systems/generation/CandidateStats.ts","PotentialPackage","unreferenced-export","P3","","","","","candidate",""
"ORPH-0031","src/engine/systems/generation/SponsorGenerator.ts","REGIONS","unreferenced-export","P3","","","","","candidate",""
"ORPH-0032","src/engine/systems/generation/SponsorGenerator.ts","INDUSTRY_TAGS","unreferenced-export","P3","","","","","candidate",""
"ORPH-0033","src/engine/systems/generation/SponsorGenerator.ts","generateSponsorNameV2","unreferenced-export","P3","","","","","candidate",""
"ORPH-0034","src/engine/systems/generation/SponsorGenerator.ts","generateSponsorId","unreferenced-export","P3","","","","","candidate",""
"ORPH-0035","src/engine/systems/generation/SponsorGenerator.ts","rollSponsorCategory","unreferenced-export","P3","","","","","candidate",""
"ORPH-0036","src/engine/systems/generation/SponsorGenerator.ts","generateSponsor","unreferenced-export","P3","","","","","candidate",""
"ORPH-0037","src/engine/systems/generation/SponsorGenerator.ts","getTierTraitRanges","unreferenced-export","P3","","","","","candidate",""
"ORPH-0038","src/engine/systems/generation/SponsorGenerator.ts","rollTier","unreferenced-export","P3","","","","","candidate",""
"ORPH-0039","src/engine/systems/generation/SponsorGenerator.ts","INITIAL_SPONSOR_TIER_DISTRIBUTION","unreferenced-export","P3","","","","","candidate",""
"ORPH-0040","src/engine/systems/generation/FightingNameEarly.ts","EARLY_SHIKONA_CHANCE","unreferenced-export","P3","","","","","candidate",""
"ORPH-0041","src/engine/systems/generation/FightingNameEarly.ts","EARLY_SHIKONA_MOTIVATION_BOOST","unreferenced-export","P3","","","","","candidate",""
"ORPH-0042","src/engine/systems/NPCPersonaService.ts","NPCPersona","unreferenced-export","P3","","","","","candidate",""
"ORPH-0043","src/engine/systems/NPCPersonaService.ts","OyakataPersona","unreferenced-export","P3","","","","","candidate",""
"ORPH-0044","src/engine/agents/MediaAgent.ts","MediaAgentResult","unreferenced-export","P3","","","","","candidate",""
"ORPH-0045","src/engine/agents/CrisisAgent.ts","CrisisAgentResult","unreferenced-export","P3","","","","","candidate",""
"ORPH-0046","src/engine/agents/NarrativeAgent.ts","NarrativeAgentResult","unreferenced-export","P3","","","","","candidate",""
"ORPH-0047","src/engine/npcAI/LeaguePerception.ts","emptyLeaguePerception","unreferenced-export","P3","","","","","candidate",""
"ORPH-0048","src/engine/npcAI/OpponentModel.ts","getOpponentDominantFamily","unreferenced-export","P3","","","","","candidate",""
"ORPH-0049","src/engine/npcAI/MemoryStore.ts","type OyakataMemory","unreferenced-export","P3","","","","","candidate",""
"ORPH-0050","src/engine/actions/OyakataIntervention.ts","InterventionResult","unreferenced-export","P3","","","","","candidate",""
"ORPH-0051","src/engine/actions/InjuredEncouragement.ts","ENCOURAGEMENT_MOTIVATION_BOOST","unreferenced-export","P3","","","","","candidate",""
"ORPH-0052","src/engine/ai/types.ts","AIConstraintType","unreferenced-export","P3","","","","","candidate",""
